avg_loser_size_usd,avg_txs_per_position,avg_winner_size_usd,best_position_pnl_usd,biggest_position_usd,conviction_ratio,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate,net_pnl_all_usd,roi_all,n_positions_all,n_losers,gross_losses_usd,worst_position_usd,n_total_wipeouts,wipeout_loss_usd,n_txs_all,biggest_position_all_usd,clean_pnl_usd,clean_invested_usd,inflow_pnl_usd,n_clean_positions,n_sold_without_buying,sold_without_buying_usd,best_clean_position_usd,clean_pnl_excluding_best_usd,recent_pnl_180d_usd,recent_positions_180d,size_variation,active_hours_of_day,best_position_share,verdict
43944,7.30000000000000000,116821,224896,495703,2.66,,2024-09-01 00:32:38.000 UTC,2025-09-15 14:39:47.000 UTC,266130,7,6,5,6,0.33000000000000000,41234,0,0.33,0,816747,DoEVVneAjDCmPKeqFo5EMKNYWsULWJ4Nj45TEe2oTb3W,1.00000000000000000,25985,0.02,19,12,-240145,-67251,2,76591,139,495703,43740,1029274,-17754,14,0,0,224896,-181156,-67251,1,1.59,17,5.14,pass
44154,3.50000000000000000,44802,157918,99163,1.01,,2024-02-28 16:41:19.000 UTC,2024-11-22 04:41:53.000 UTC,291945,18,7,3,4,0.14000000000000000,134028,0,0.88,0,329995,49ZYQ4WMS92EoXLJU3uL3dLveCcvGwd4EqMQ1eTQC9rr,0.57000000000000000,211825,0.23,21,14,-383452,-104843,8,163941,74,282563,42921,777778,168904,18,1,17463,157918,-114997,0,0,1.33,5,3.68,REJECT: sells tokens it never bought
17302,7.90000000000000000,23914,29005,50672,1.38,,2024-09-23 03:00:24.000 UTC,2024-11-15 22:29:34.000 UTC,56336,8,4,1,3,0.00000000000000000,27331,0,0.33,0,173264,3UNBpcPqv22LRiuxuEFYEPA6qzbiV4Dzqed86wXiwpSH,0.75000000000000000,209053,1.07,9,3,-15695,-12712,1,12712,71,50672,42797,188650,166256,8,0,0,29005,13793,0,0,0.92,10,0.68,pass
15359,4.40000000000000000,22491,697008,63438,1.46,,2024-04-29 14:33:32.000 UTC,2026-02-01 22:06:25.000 UTC,782740,54,7,11,3,0.00000000000000000,85732,0,3.08,0,254117,8hTkaiZPiPwpEGE5DdtttBVRR5Ywdyc6eqSzwv71wPuz,0.43000000000000000,862993,1.4,36,27,-219080,-76359,12,29532,158,150179,42375,278622,820618,25,12,1284074,123476,-81101,-4552,3,1.65,10,2.91,REJECT: sells tokens it never bought
12016,5.90000000000000000,18916,30243,111822,1.57,,2024-04-07 19:00:10.000 UTC,2024-11-06 12:53:46.000 UTC,56748,6,3,0,3,0.33000000000000000,26505,0,0.34,0,169128,5b4U2wV1PiryZuMHYxZoJmWE8aj4ZrWXJxeYEBzeQdcY,1.00000000000000000,42043,0.14,18,6,-21208,-15183,0,0,106,111822,42043,299093,0,18,1,2216,30243,11799,0,0,1.56,10,0.72,pass
7506,4.40000000000000000,6985,26452,26264,0.93,,2024-04-12 03:28:18.000 UTC,2025-11-07 15:19:57.000 UTC,57801,101,4,1,3,0.00000000000000000,31350,0,1.02,0,56659,3t7w3BnwjBMCVSBsUtwZCBHHhd6M3rLyc6ZfQonnwBh6,0.75000000000000000,64203,0.59,15,7,-37025,-12846,6,26959,66,26264,39952,97339,24251,14,0,0,26452,13501,-434,1,1.11,4,0.66,REJECT: never sized up
10260,3.50000000000000000,12715,15340,26517,1.24,,2024-03-14 17:59:23.000 UTC,2025-01-19 22:46:23.000 UTC,26030,18,6,3,4,0.17000000000000000,10689,0,0.24,0,110341,D5hRoVrBWW6SwNnfUbyYqCjx7GyorGJSdCPJsHdbDLfa,0.67000000000000000,33854,0.22,13,5,-27710,-8584,0,0,46,26517,39889,114358,-6035,10,4,42429,15340,24548,0,0,0.64,4,0.38,REJECT: sells tokens it never bought
2780,7.10000000000000000,15352,23932,57108,5.52,,2024-06-05 11:05:22.000 UTC,2025-12-19 18:16:50.000 UTC,64112,59,7,8,6,0.00000000000000000,40181,0,0.38,0,168552,DAKYRxkwQByFgDhNJGXDcXzFGPKFBkH591rw6XgBAi3m,0.86000000000000000,89736,0.39,23,10,-2744,-1282,3,868,164,57108,39742,132980,49994,15,3,42886,23932,15810,0,0,1.32,11,0.6,REJECT: sells tokens it never bought
26313,3.20000000000000000,13066,41090,64023,0.5,,2024-03-08 00:53:12.000 UTC,2025-04-23 15:28:41.000 UTC,71729,6,6,4,5,0.33000000000000000,30639,0,0.7,0,102172,4x6udLdiWJHe8eemLWTQAVETLdrY7zUdjjL6umzdcD5q,0.83000000000000000,455743,1.34,17,9,-34182,-19046,4,23264,55,184471,39646,320725,416097,13,4,34931,41090,-1445,0,0,2.17,7,1.04,REJECT: sells tokens it never bought
2066,4.50000000000000000,5229,43114,27244,2.53,,2024-04-17 01:43:15.000 UTC,2026-01-01 01:26:32.000 UTC,57173,14,9,8,5,0.22000000000000000,14059,0,0.47,188,122515,84Lp2duKvrPXaMJduHPYDcq4KCxNVa9LLfKfMPZHSFbK,0.56000000000000000,174312,0.43,134,92,-126079,-10438,44,52801,606,27244,39596,332910,134716,126,1,1665,32904,6692,0,0,1.52,17,0.83,REJECT: never sized up
